sku;family;resources;name;localized_attributedata.da-DK.short-description;localized_attributedata.da-DK.name;attributedata.related-products;attributedata.badges;attributedata.tags;attributedata.erp-ext-salesprice1;attributedata.erp-group;attributedata.mulig-beholdning;attributedata.sortorder
80868;rockford-fosgate;"{
  ""id"": ""dcd5af20-b922-4c04-97ea-06a20c00dc19"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/dcd5af20-b922-4c04-97ea-06a20c00dc19/80868_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/dcd5af20-b922-4c04-97ea-06a20c00dc19/80868_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/dcd5af20-b922-4c04-97ea-06a20c00dc19/80868_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF RFIT-3 dual twist signalkabel;Rockford Fosgate RFIT-3 / 0,9 m Premium Dual Twist Stereo RCA Cable;RF RFIT-3;;1 meter;;219;ICE-RF-mon;;12
80900;rockford-fosgate;"{
  ""id"": ""a8ad9b94-a8d8-4efb-b837-3d39ffca9fee"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/a8ad9b94-a8d8-4efb-b837-3d39ffca9fee/80900_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/a8ad9b94-a8d8-4efb-b837-3d39ffca9fee/80900_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/a8ad9b94-a8d8-4efb-b837-3d39ffca9fee/80900_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF RFFANL Inline MAXI/ANL sikringsholder;Rockford Fosgate RFFANL / Platinum plated ANL sikringsholder / Tværsnit 21,1mm²/8,3mm²;RF RFFANL;;;;329;ICE-RF-mon;;58
80918;rockford-fosgate;"{
  ""id"": ""00616444-df6d-4326-91a0-3771dfe78c48"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/00616444-df6d-4326-91a0-3771dfe78c48/80918_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/00616444-df6d-4326-91a0-3771dfe78c48/80918_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/00616444-df6d-4326-91a0-3771dfe78c48/80918_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF RF-HLC4;Rockford Fosgate RF-HLC4 / 4-Channel High-to-Low Converter / Til at forbinde højttalerkabler til RCA inputs hos Rockford Fosgate Forstærkere / Dimensions: 25,4 x 76,2 x 88,9 mm;RF RF-HLC4;;;;329;ICE-RF-mon;;
81011;rockford-fosgate;"{
  ""id"": ""e054c3b5-0065-4cfa-87bf-bf9de0be0b5c"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/e054c3b5-0065-4cfa-87bf-bf9de0be0b5c/81011_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/e054c3b5-0065-4cfa-87bf-bf9de0be0b5c/81011_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/e054c3b5-0065-4cfa-87bf-bf9de0be0b5c/81011_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF RFBTAUX;Rockford Fosgate RFBTAUX / Universal Bluetooth Cigarstik Audio Adapter / Bluetooth™ streamingmodtager / Tilsluttes 12V stikkontakt (cigaretlighter) / 3,5 mm stereo lydudgang / 5VDC USB-opladningsudgang (USB-kabel medfølger ikke) / Enkel parring med én knap (belyst Diamond-R-logo) / Automatisk forbindelse efter indledende parring / Klasse 2 udgangseffekt / Bluetooth™ V3.0+EDR med 10 m rækkevidde / 1,5 m spolekabel med 3,5 mm lydstik inkluderet / Kompatibel med Apple og Android Bluetooth™-enheder;"RF RFBTAUX ";;;;649;ICE-RF-mon;2;
85118;rockford-fosgate;"{
  ""id"": ""deb5dbb3-f1fb-4de2-bfef-7d0794e5d753"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/deb5dbb3-f1fb-4de2-bfef-7d0794e5d753/85118_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/deb5dbb3-f1fb-4de2-bfef-7d0794e5d753/85118_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/deb5dbb3-f1fb-4de2-bfef-7d0794e5d753/85118_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P400X1;Rockford Fosgate P400X1 / Class-ab Mono Forstærker / 1 x 250/400 Watts/RMS @ 4 /2 Ω / Highpass/Lowpass 50-250 Hz / Punch EQ 0-18 dB Bass Boost (45Hz) / Punch EQ 0-12 dB Treble Boost (12,5kHz) / Dimensions: 197 x 61 x 250 mm;RF P400X1;;;;2819;ICE-RF-amp;;
85161;rockford-fosgate;"{
  ""id"": ""ae3c40c8-07b2-453e-9b91-a1e721c58512"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/ae3c40c8-07b2-453e-9b91-a1e721c58512/85161_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/ae3c40c8-07b2-453e-9b91-a1e721c58512/85161_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/ae3c40c8-07b2-453e-9b91-a1e721c58512/85161_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P300-12T Punch subbox;P300-12T / 30 cm Sealed Powered Truck Enclosure / Output Power 300 Watts RMS / Dimensions: 38 x 65,6 x 21,5/12,2 cm;"RF P300-12T Punch subbox ";;;;3219;ICE-RF-hjt;;
85216;rockford-fosgate;"{
  ""id"": ""7341fc12-0d26-4f2c-82b1-ffd221156c8f"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/7341fc12-0d26-4f2c-82b1-ffd221156c8f/85216_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/7341fc12-0d26-4f2c-82b1-ffd221156c8f/85216_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/7341fc12-0d26-4f2c-82b1-ffd221156c8f/85216_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T400X2 AD;Rockford Fosgate T400X2AD / Class-ad 2-Channel Forstærker / 2 x 200 Watts/RMS @ 4/2 Ω / 1 x 400 Watts/RMS @ 4 Ω bridged / Dimensions: 108 x 41 x 178 mm;RF T400X2 AD;;;;3539;ICE-RF-amp;;
86352;rockford-fosgate;"{
  ""id"": ""38b0b633-2967-442f-8a51-e27b9eb614e7"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/38b0b633-2967-442f-8a51-e27b9eb614e7/86352_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/38b0b633-2967-442f-8a51-e27b9eb614e7/86352_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/38b0b633-2967-442f-8a51-e27b9eb614e7/86352_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";"RF P152 coaxial 5"" højttalersæt 2-vejss";Rockford Fosgate P152 / 13 cm (5.25”) Coaxial / 40/80 Watts RMS/MAX. / SPL 87 dB / 70 Hz - 22 kHz / ‡ 48 mm / Ø 122 mm;"RF P152 ";;;;749;ICE-RF-hjt;;
86354;rockford-fosgate;"{
  ""id"": ""74fce874-fe49-4637-928b-9e3f70634a96"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/74fce874-fe49-4637-928b-9e3f70634a96/86354_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/74fce874-fe49-4637-928b-9e3f70634a96/86354_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/74fce874-fe49-4637-928b-9e3f70634a96/86354_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
},{
  ""id"": ""47fa79d6-c83a-4edd-9d75-6f4e889b1566"",
  ""type"": ""image"",
  ""primary"": false,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/47fa79d6-c83a-4edd-9d75-6f4e889b1566/p1650-group450x243_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/47fa79d6-c83a-4edd-9d75-6f4e889b1566/p1650-group450x243_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/47fa79d6-c83a-4edd-9d75-6f4e889b1566/p1650-group450x243_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P1650;Rockford Fosgate P1650 / 16,5 cm (6.5”) Coaxial / 55/110 Watts RMS/MAX. / SPL 88 dB / 45 Hz - 22 kHz / ‡ 57 mm / Ø 141 mm;RF P1650;;;;859;ICE-RF-hjt;;
86397;rockford-fosgate;"{
  ""id"": ""9b80e18e-ac59-4e75-a827-eaabbed88834"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/9b80e18e-ac59-4e75-a827-eaabbed88834/86397_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/9b80e18e-ac59-4e75-a827-eaabbed88834/86397_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/9b80e18e-ac59-4e75-a827-eaabbed88834/86397_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T1462 Power Full-Range højt.sæt;"Rockford Fosgate T1462 / 4 x 6"" Coaxial / 45/90 Watts RMS/MAX. / SPL 85,5 dB / 75 Hz - 22 kHz / ‡ 50 mm / Ø 92 x 147 mm";RF T1462;;;;969;ICE-RF-hjt;;
