sku;brand;image;title;description;price;category
80868;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/dcd5af20-b922-4c04-97ea-06a20c00dc19/80868_default.jpg;RF RFIT-3 dual twist signalkabel;Rockford Fosgate RFIT-3 / 0,9 m Premium Dual Twist Stereo RCA Cable;219;ICE-RF-mon
80900;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/a8ad9b94-a8d8-4efb-b837-3d39ffca9fee/80900_default.jpg;RF RFFANL Inline MAXI/ANL sikringsholder;Rockford Fosgate RFFANL / Platinum plated ANL sikringsholder / Tværsnit 21,1mm²/8,3mm²;329;ICE-RF-mon
80918;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/00616444-df6d-4326-91a0-3771dfe78c48/80918_default.png;RF RF-HLC4;Rockford Fosgate RF-HLC4 / 4-Channel High-to-Low Converter / Til at forbinde højttalerkabler til RCA inputs hos Rockford Fosgate Forstærkere / Dimensions: 25,4 x 76,2 x 88,9 mm;329;ICE-RF-mon
81011;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/e054c3b5-0065-4cfa-87bf-bf9de0be0b5c/81011_default.png;RF RFBTAUX;Rockford Fosgate RFBTAUX / Universal Bluetooth Cigarstik Audio Adapter / Bluetooth™ streamingmodtager / Tilsluttes 12V stikkontakt (cigaretlighter) / 3,5 mm stereo lydudgang / 5VDC USB-opladningsudgang (USB-kabel medfølger ikke) / Enkel parring med én knap (belyst Diamond-R-logo) / Automatisk forbindelse efter indledende parring / Klasse 2 udgangseffekt / Bluetooth™ V3.0+EDR med 10 m rækkevidde / 1,5 m spolekabel med 3,5 mm lydstik inkluderet / Kompatibel med Apple og Android Bluetooth™-enheder;649;ICE-RF-mon
85118;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/deb5dbb3-f1fb-4de2-bfef-7d0794e5d753/85118_default.jpg;RF P400X1;Rockford Fosgate P400X1 / Class-ab Mono Forstærker / 1 x 250/400 Watts/RMS @ 4 /2 Ω / Highpass/Lowpass 50-250 Hz / Punch EQ 0-18 dB Bass Boost (45Hz) / Punch EQ 0-12 dB Treble Boost (12,5kHz) / Dimensions: 197 x 61 x 250 mm;2819;ICE-RF-amp
85161;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/ae3c40c8-07b2-453e-9b91-a1e721c58512/85161_default.png;RF P300-12T Punch subbox;P300-12T / 30 cm Sealed Powered Truck Enclosure / Output Power 300 Watts RMS / Dimensions: 38 x 65,6 x 21,5/12,2 cm;3219;ICE-RF-hjt
85216;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/7341fc12-0d26-4f2c-82b1-ffd221156c8f/85216_default.png;RF T400X2 AD;Rockford Fosgate T400X2AD / Class-ad 2-Channel Forstærker / 2 x 200 Watts/RMS @ 4/2 Ω / 1 x 400 Watts/RMS @ 4 Ω bridged / Dimensions: 108 x 41 x 178 mm;3539;ICE-RF-amp
86352;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/38b0b633-2967-442f-8a51-e27b9eb614e7/86352_default.jpg;"RF P152 coaxial 5"" højttalersæt 2-vejss";Rockford Fosgate P152 / 13 cm (5.25”) Coaxial / 40/80 Watts RMS/MAX. / SPL 87 dB / 70 Hz - 22 kHz / ‡ 48 mm / Ø 122 mm;749;ICE-RF-hjt
86397;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/9b80e18e-ac59-4e75-a827-eaabbed88834/86397_default.jpg;RF T1462 Power Full-Range højt.sæt;"Rockford Fosgate T1462 / 4 x 6"" Coaxial / 45/90 Watts RMS/MAX. / SPL 85,5 dB / 75 Hz - 22 kHz / ‡ 50 mm / Ø 92 x 147 mm";969;ICE-RF-hjt
86420;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/781db852-d26b-4497-9087-19ffd960773c/86420_default.jpg;RF T152 Power Full-range;Rockford Fosgate T152 / 13 cm (5.25”) Coaxial / 60/120 Watts RMS/MAX. / SPL 86,5 dB / 65 Hz - 22 kHz / ‡ 50 mm / Ø 122 mm;1079;ICE-RF-hjt
